"Variable Name","Public","Protected","Private","Static","Final","Type","Initial Value","Annotation","Comment","Java File Path"
"android.pim.vcard.VCardBuilder.VCARD_DATA_SEPARATOR","false","false","true","true","true","String",""":""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.PostalStruct.addressData","false","false","false","false","true","String","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_PARAM_EQUAL","false","false","true","true","true","String","""=""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mUsesDefactProperty","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mEndAppended","false","false","true","false","false","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_DATA_VCARD","false","false","true","true","true","String","""VCARD""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.appendCharset","false","false","false","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.LOG_TAG","false","false","true","true","true","String","""VCardBuilder""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mCharsetString","false","false","true","false","true","String","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mIsJapaneseMobilePhone","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.PostalStruct.reallyUseQuotedPrintable","false","false","false","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_PARAM_SEPARATOR","false","false","true","true","true","String",""";""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mUsesUtf8","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_PARAM_ENCODING_BASE64_V30","false","false","true","true","true","String","""ENCODING=b""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.sAllowedAndroidPropertySet","false","false","true","true","true","Set<String>","Collections.unmodifiableSet(new HashSet<String>(Arrays.asList(Nickname.CONTENT_ITEM_TYPE, Event.CONTENT_ITEM_TYPE, Relation.CONTENT_ITEM_TYPE)))","","// e.g. BLOB is not what we can handle here now.
","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.DEFAULT_EMAIL_TYPE","true","false","false","true","true","int","Email.TYPE_OTHER","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_END_OF_LINE","false","false","true","true","true","String","""\r\n""","","","\android\pim\vcard\VCardBuilder.java"
"android.os.LatencyTimer.store","false","false","false","false","false","HashMap<String,long[]>","new HashMap<String, long[]>()","","","\android\os\LatencyTimer.java"
"android.os.LatencyTimer.TAG","false","false","false","false","true","String","""LatencyTimer""","","","\android\os\LatencyTimer.java"
"android.os.LatencyTimer.mSampleSize","false","false","false","false","true","int","","","","\android\os\LatencyTimer.java"
"android.os.LatencyTimer.mScaleFactor","false","false","false","false","true","int","","","","\android\os\LatencyTimer.java"
"android.text.AlteredCharSequence.mSpanned","false","false","true","false","false","Spanned","","","","\android\text\AlteredCharSequence.java"
"android.text.AlteredCharSequence.mEnd","false","false","true","false","false","int","","","","\android\text\AlteredCharSequence.java"
"android.text.AlteredCharSequence.mSource","false","false","true","false","false","CharSequence","","","","\android\text\AlteredCharSequence.java"
"android.text.AlteredCharSequence.mChars","false","false","true","false","false","char","","","","\android\text\AlteredCharSequence.java"
"android.text.AlteredCharSequence.mStart","false","false","true","false","false","int","","","","\android\text\AlteredCharSequence.java"
"android.text.AlteredSpanned.mSpanned","false","false","true","false","false","Spanned","","","","\android\text\AlteredCharSequence.java"
"android.widget.TextView.TAG","false","false","false","true","true","String","""TextView""","","","\android\widget\TextView.java"
"android.widget.InputMethodState.mTmpExtracted","false","false","false","false","true","ExtractedText","new ExtractedText()","","","\android\widget\TextView.java"
"android.widget.TextView.SIGNED","false","false","true","true","true","int","2","","// TODO: How can we get this from the XML instead of hardcoding it here?
","\android\widget\TextView.java"
"android.widget.TextView.mMarqueeRepeatLimit","false","false","true","false","false","int","3","","","\android\widget\TextView.java"
"android.widget.TextView.mCurHintTextColor","false","false","true","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.EXTRACT_NOTHING","false","false","false","true","true","int","-2","","","\android\widget\TextView.java"
"android.widget.TextView.mLayout","false","false","true","false","false","Layout","","","","\android\widget\TextView.java"
"android.widget.TextView.mSingleLine","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.mCharWrapper","false","false","true","false","false","CharWrapper","null","","","\android\widget\TextView.java"
"android.widget.TextView.imeOptions","false","false","false","false","false","int","EditorInfo.IME_NULL","","","\android\widget\TextView.java"
"android.widget.TextView.mNewStart","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.mEatTouchRelease","false","false","true","false","false","boolean","false","","","\android\widget\TextView.java"
"android.widget.TextView.mInputType","false","false","true","false","false","int","EditorInfo.TYPE_NULL","","","\android\widget\TextView.java"
"android.widget.TextView.mSelectionMoved","false","false","true","false","false","boolean","false","","","\android\widget\TextView.java"
"android.widget.TextView.mBufferType","false","false","true","false","false","BufferType","BufferType.NORMAL","","","\android\widget\TextView.java"
"android.widget.Drawables.mDrawableSizeTop","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.MARQUEE_PIXELS_PER_SECOND","false","false","true","true","true","int","30","","","\android\widget\TextView.java"
"android.widget.ErrorPopup.mView","false","false","true","false","false","TextView","","","","\android\widget\TextView.java"
"android.widget.TextView.mStart","false","false","true","false","false","int","","","","\android\widget\TextView.java"
"android.widget.Marquee.MARQUEE_RUNNING","false","false","true","true","true","byte","0x2","","","\android\widget\TextView.java"
"android.widget.TextView.mTmpExtracted","false","false","false","false","true","ExtractedText","new ExtractedText()","","","\android\widget\TextView.java"
"android.widget.TextView.mFadeStop","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.CharWrapper.mStart","false","false","true","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.DECIMAL","false","false","true","true","true","int","4","","","\android\widget\TextView.java"
"android.widget.SavedState.CREATOR","true","false","false","true","true","Parcelable.Creator<SavedState>","new Parcelable.Creator<SavedState>() {

    public SavedState createFromParcel(Parcel in) {
        return new SavedState(in);
    }

    public SavedState[] newArray(int size) {
        return new SavedState[size];
    }
}","","","\android\widget\TextView.java"
"android.widget.TextView.mBlink","false","false","true","false","false","Blink","","","","\android\widget\TextView.java"
"android.widget.TextView.mMaxScroll","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.Marquee.mScrollUnit","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.mStatus","false","false","true","false","false","byte","MARQUEE_STOPPED","","","\android\widget\TextView.java"
"android.widget.TextView.MARQUEE_STOPPED","false","false","true","true","true","byte","0x0","","","\android\widget\TextView.java"
"android.widget.Blink.mView","false","false","true","false","false","WeakReference<TextView>","","","","\android\widget\TextView.java"
"android.widget.TextView.mGhostOffset","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.mTransformation","false","false","true","false","false","TransformationMethod","","","","\android\widget\TextView.java"
"android.widget.TextView.mMovement","false","false","true","false","false","MovementMethod","","","","\android\widget\TextView.java"
"android.widget.TextView.mCompoundRect","false","false","false","false","true","Rect","new Rect()","","","\android\widget\TextView.java"
"android.widget.TextView.mMaxWidth","false","false","true","false","false","int","Integer.MAX_VALUE","","","\android\widget\TextView.java"
"android.widget.TextView.EMPTY_SPANNED","false","false","true","true","true","Spanned","new SpannedString("""")","","","\android\widget\TextView.java"
"android.widget.TextView.mRestartMarquee","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.privateImeOptions","false","false","false","false","false","String","","","","\android\widget\TextView.java"
"android.widget.TextView.mNewEnd","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.Drawables.mDrawablePadding","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.mSpacingAdd","false","false","true","false","false","float","0","","","\android\widget\TextView.java"
"android.widget.TextView.mCurTextColor","false","false","true","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.mSavedLayout","false","false","true","false","false","BoringLayout","","","","\android\widget\TextView.java"
"android.widget.TextView.PREDRAW_NOT_REGISTERED","false","false","true","true","true","int","0","","","\android\widget\TextView.java"
"android.widget.TextView.SERIF","false","false","true","true","true","int","2","","","\android\widget\TextView.java"
"android.widget.TextView.MARQUEE_DELAY","false","false","true","true","true","int","1200","","","\android\widget\TextView.java"
"android.widget.TextView.mScrollUnit","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.mAbove","false","false","true","false","false","boolean","false","","","\android\widget\TextView.java"
"android.widget.TextView.mView","false","false","true","false","false","WeakReference<TextView>","","","","\android\widget\TextView.java"
"android.widget.TextView.mTouchFocusSelected","false","false","true","false","false","boolean","false","","","\android\widget\TextView.java"
"android.widget.TextView.mHighlightPathBogus","false","false","true","false","false","boolean","true","","","\android\widget\TextView.java"
"android.widget.TextView.mMaxWidthMode","false","false","true","false","false","int","PIXELS","","","\android\widget\TextView.java"
"android.widget.TextView.mMarquee","false","false","true","false","false","Marquee","","","","\android\widget\TextView.java"
"android.widget.Marquee.MESSAGE_RESTART","false","false","true","true","true","int","0x3","","","\android\widget\TextView.java"
"android.widget.TextView.mEditableFactory","false","false","true","false","false","Editable.Factory","Editable.Factory.getInstance()","","","\android\widget\TextView.java"
"android.widget.TextView.frozenWithFocus","false","false","false","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.sTempRect","false","false","true","true","true","RectF","new RectF()","","","\android\widget\TextView.java"
"android.widget.Marquee.MESSAGE_TICK","false","false","true","true","true","int","0x2","","","\android\widget\TextView.java"
"android.widget.TextView.mSelectAllOnFocus","false","false","true","false","false","boolean","false","","","\android\widget\TextView.java"
"android.widget.TextView.ID_STOP_SELECTING_TEXT","false","false","true","true","true","int","android.R.id.stopSelectingText","","","\android\widget\TextView.java"
"android.widget.TextView.mHorizontallyScrolling","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.onEditorActionListener","false","false","false","false","false","OnEditorActionListener","","","","\android\widget\TextView.java"
"android.widget.Marquee.mMaxFadeScroll","false","false","false","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.MARQUEE_STARTING","false","false","true","true","true","byte","0x1","","","\android\widget\TextView.java"
"android.widget.TextView.mCursorVisible","false","false","true","false","false","boolean","true","","","\android\widget\TextView.java"
"android.widget.TextView.mBeforeText","false","false","true","false","false","CharSequence","","","","\android\widget\TextView.java"
"android.widget.TextView.mMaxFadeScroll","false","false","false","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.ID_COPY_URL","false","false","true","true","true","int","android.R.id.copyUrl","","","\android\widget\TextView.java"
"android.widget.TextView.BLINK","false","false","true","true","true","int","500","","","\android\widget\TextView.java"
"android.widget.TextView.mHighlightColor","false","false","true","false","false","int","0xFFBBDDFF","","","\android\widget\TextView.java"
"android.widget.Marquee.MARQUEE_STARTING","false","false","true","true","true","byte","0x1","","","\android\widget\TextView.java"
"android.widget.TextView.mGravity","false","false","true","false","false","int","Gravity.TOP | Gravity.LEFT","","","\android\widget\TextView.java"
"android.widget.InputContentType.extras","false","false","false","false","false","Bundle","","","","\android\widget\TextView.java"
"android.widget.TextView.mHintLayout","false","false","true","false","false","Layout","","","","\android\widget\TextView.java"
"android.widget.TextView.mScroll","false","false","false","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.NO_FILTERS","false","false","true","true","true","InputFilter","new InputFilter[0]","","","\android\widget\TextView.java"
"android.widget.TextView.MESSAGE_RESTART","false","false","true","true","true","int","0x3","","","\android\widget\TextView.java"
"android.widget.TextView.ID_ADD_TO_DICTIONARY","false","false","true","true","true","int","android.R.id.addToDictionary","","","\android\widget\TextView.java"
"android.widget.TextView.EXTRACT_UNKNOWN","false","false","false","true","true","int","-1","","","\android\widget\TextView.java"
"android.widget.TextView.mDispatchTemporaryDetach","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.mShowCursor","false","false","true","false","false","long","","","","\android\widget\TextView.java"
"android.widget.TextView.mSpacingMult","false","false","true","false","false","float","1","","","\android\widget\TextView.java"
"android.widget.TextView.mPopup","false","false","true","false","false","ErrorPopup","","","","\android\widget\TextView.java"
"android.widget.TextView.mMinMode","false","false","true","false","false","int","LINES","","","\android\widget\TextView.java"
"android.widget.TextView.mSpannableFactory","false","false","true","false","false","Spannable.Factory","Spannable.Factory.getInstance()","","","\android\widget\TextView.java"
"android.widget.TextView.ID_PASTE","false","false","true","true","true","int","android.R.id.paste","","","\android\widget\TextView.java"
"android.widget.TextView.mTextPaint","false","false","true","false","false","TextPaint","","","// display attributes
","\android\widget\TextView.java"
"android.widget.ErrorPopup.mAbove","false","false","true","false","false","boolean","false","","","\android\widget\TextView.java"
"android.widget.TextView.LINES","false","false","true","true","true","int","1","","","\android\widget\TextView.java"
"android.widget.TextView.mCursorRectInWindow","false","false","false","false","false","Rect","new Rect()","","","\android\widget\TextView.java"
"android.widget.TextView.mMaximum","false","false","true","false","false","int","Integer.MAX_VALUE","","","\android\widget\TextView.java"
"android.widget.TextView.UNKNOWN_BORING","false","false","true","true","true","BoringLayout.Metrics","new BoringLayout.Metrics()","","","\android\widget\TextView.java"
"android.widget.TextView.mHighlightPaint","false","false","true","false","false","Paint","","","","\android\widget\TextView.java"
"android.widget.SavedState.selEnd","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.mDrawables","false","false","true","false","false","Drawables","","","","\android\widget\TextView.java"
"android.widget.TextView.DEBUG_EXTRACT","false","false","false","true","true","boolean","false","","","\android\widget\TextView.java"
"android.widget.TextView.mLinksClickable","false","false","true","false","false","boolean","true","","","\android\widget\TextView.java"
"android.widget.TextView.mText","false","false","true","false","false","CharSequence","","@ViewDebug.ExportedProperty","","\android\widget\TextView.java"
"android.widget.CommitSelectionReceiver.mNewEnd","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.mChangeWatcher","false","false","true","false","false","ChangeWatcher","","","","\android\widget\TextView.java"
"android.widget.TextView.ID_COPY","false","false","true","true","true","int","android.R.id.copy","","","\android\widget\TextView.java"
"android.widget.TextView.MESSAGE_START","false","false","true","true","true","int","0x1","","","\android\widget\TextView.java"
"android.widget.Marquee.mScroll","false","false","false","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.mRepeatLimit","false","false","true","false","false","int","","","","\android\widget\TextView.java"
"android.widget.InputContentType.imeActionId","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.mShadowRadius","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.Marquee.mStatus","false","false","true","false","false","byte","MARQUEE_STOPPED","","","\android\widget\TextView.java"
"android.widget.TextView.mErrorWasChanged","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.text","false","false","false","false","false","CharSequence","","","","\android\widget\TextView.java"
"android.widget.CommitSelectionReceiver.mNewStart","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.Marquee.MARQUEE_RESOLUTION","false","false","true","true","true","int","1000 / 30","","","\android\widget\TextView.java"
"android.widget.TextView.mDrawableSizeTop","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.Marquee.mGhostOffset","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.mDrawablePadding","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.MARQUEE_RESOLUTION","false","false","true","true","true","int","1000 / 30","","","\android\widget\TextView.java"
"android.widget.TextView.mHighlightPath","false","false","true","false","false","Path","","","// tmp primitives, so we don't alloc them on each draw
","\android\widget\TextView.java"
"android.widget.TextView.mTemporaryDetach","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.mExtracting","false","false","false","false","false","ExtractedTextRequest","","","","\android\widget\TextView.java"
"android.widget.TextView.mPreDrawState","false","false","true","false","false","int","PREDRAW_NOT_REGISTERED","","","\android\widget\TextView.java"
"android.widget.TextView.VERY_WIDE","false","false","true","true","true","int","16384","","// XXX should be much larger
","\android\widget\TextView.java"
"android.widget.TextView.mFilters","false","false","true","false","false","InputFilter","NO_FILTERS","","","\android\widget\TextView.java"
"android.widget.SavedState.selStart","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.ID_SELECT_ALL","false","false","true","true","true","int","android.R.id.selectAll","","","\android\widget\TextView.java"
"android.widget.Marquee.mFadeStop","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.enterDown","false","false","false","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.Drawables.mDrawableTop","false","false","false","false","false","Drawable","","","","\android\widget\TextView.java"
"android.widget.TextView.MARQUEE_RESTART_DELAY","false","false","true","true","true","int","1200","","","\android\widget\TextView.java"
"android.widget.TextView.ANIMATED_SCROLL_GAP","false","false","true","true","true","int","250","","","\android\widget\TextView.java"
"android.widget.InputMethodState.mExtracting","false","false","false","false","false","ExtractedTextRequest","","","","\android\widget\TextView.java"
"android.widget.TextView.mFrozenWithFocus","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.mFreezesText","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.MESSAGE_TICK","false","false","true","true","true","int","0x2","","","\android\widget\TextView.java"
"android.widget.TextView.mShowErrorAfterAttach","false","false","true","false","false","boolean","","","/**
 * This flag is set if the TextView tries to display an error before it
 * is attached to the window (so its position is still unknown).
 * It causes the error to be shown later, when onAttachedToWindow()
 * is called.
 */
","\android\widget\TextView.java"
"android.widget.TextView.EMS","false","false","true","true","true","int","LINES","","","\android\widget\TextView.java"
"android.widget.TextView.mMaxMode","false","false","true","false","false","int","LINES","","","\android\widget\TextView.java"
"android.widget.InputMethodState.mChangedStart","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.Marquee.MARQUEE_DELTA_MAX","false","false","true","true","true","float","0.07f","","// TODO: Add an option to configure this
","\android\widget\TextView.java"
"android.widget.TextView.mGhostStart","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.Marquee.MESSAGE_START","false","false","true","true","true","int","0x1","","","\android\widget\TextView.java"
"android.widget.InputMethodState.mCursorRectInWindow","false","false","false","false","false","Rect","new Rect()","","","\android\widget\TextView.java"
"android.widget.InputMethodState.mTmpRectF","false","false","false","false","false","RectF","new RectF()","","","\android\widget\TextView.java"
"android.widget.TextView.mTmpRectF","false","false","false","false","false","RectF","new RectF()","","","\android\widget\TextView.java"
"android.widget.Marquee.mGhostStart","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.mChangedStart","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.MARQUEE_DELTA_MAX","false","false","true","true","true","float","0.07f","","// TODO: Add an option to configure this
","\android\widget\TextView.java"
"android.widget.TextView.ID_START_SELECTING_TEXT","false","false","true","true","true","int","android.R.id.startSelectingText","","","\android\widget\TextView.java"
"android.widget.TextView.error","false","false","false","false","false","CharSequence","","","","\android\widget\TextView.java"
"android.widget.Marquee.mMaxScroll","false","false","true","false","false","float","","","","\android\widget\TextView.java"
"android.widget.TextView.selStart","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.mTmpOffset","false","false","false","false","false","float","new float[2]","","","\android\widget\TextView.java"
"android.widget.TextView.mMinWidthMode","false","false","true","false","false","int","PIXELS","","","\android\widget\TextView.java"
"android.widget.InputContentType.imeActionLabel","false","false","false","false","false","CharSequence","","","","\android\widget\TextView.java"
"android.widget.TextView.mBoring","false","false","true","false","false","BoringLayout.Metrics","","","","\android\widget\TextView.java"
"android.widget.TextView.mTextColor","false","false","true","false","false","ColorStateList","","","","\android\widget\TextView.java"
"android.widget.TextView.mIncludePad","false","false","true","false","false","boolean","true","","","\android\widget\TextView.java"
"android.widget.TextView.selEnd","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.InputContentType.enterDown","false","false","false","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.MARQUEE_RUNNING","false","false","true","true","true","byte","0x2","","","\android\widget\TextView.java"
"android.widget.TextView.mAutoLinkMask","false","false","true","false","false","int","","","","\android\widget\TextView.java"
"android.widget.InputContentType.onEditorActionListener","false","false","false","false","false","OnEditorActionListener","","","","\android\widget\TextView.java"
"android.widget.InputContentType.imeOptions","false","false","false","false","false","int","EditorInfo.IME_NULL","","","\android\widget\TextView.java"
"android.widget.TextView.mHintTextColor","false","false","true","false","false","ColorStateList","","","","\android\widget\TextView.java"
"android.widget.InputContentType.privateImeOptions","false","false","false","false","false","String","","","","\android\widget\TextView.java"
"android.widget.Marquee.MARQUEE_STOPPED","false","false","true","true","true","byte","0x0","","","\android\widget\TextView.java"
"android.widget.TextView.mHint","false","false","true","false","false","CharSequence","","","","\android\widget\TextView.java"
"android.widget.TextView.ID_SWITCH_INPUT_METHOD","false","false","true","true","true","int","android.R.id.switchInputMethod","","","\android\widget\TextView.java"
"android.widget.TextView.mDrawableWidthTop","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.mMinWidth","false","false","true","false","false","int","0","","","\android\widget\TextView.java"
"android.widget.InputMethodState.mSelectionModeChanged","false","false","false","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.MONOSPACE","false","false","true","true","true","int","3","","","\android\widget\TextView.java"
"android.widget.TextView.SANS","false","false","true","true","true","int","1","","// TODO: How can we get this from the XML instead of hardcoding it here?
","\android\widget\TextView.java"
"android.widget.TextView.mCancelled","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.SavedState.frozenWithFocus","false","false","false","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.TextView.mBatchEditNesting","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.Marquee.MARQUEE_RESTART_DELAY","false","false","true","true","true","int","1200","","","\android\widget\TextView.java"
"android.widget.TextView.mListeners","false","false","true","false","false","ArrayList<TextWatcher>","null","","","\android\widget\TextView.java"
"android.widget.TextView.mMinimum","false","false","true","false","false","int","0","","","\android\widget\TextView.java"
"android.widget.ChangeWatcher.mBeforeText","false","false","true","false","false","CharSequence","","","","\android\widget\TextView.java"
"android.widget.SavedState.error","false","false","false","false","false","CharSequence","","","","\android\widget\TextView.java"
"android.widget.TextView.mUserSetTextScaleX","false","false","true","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.Drawables.mDrawableWidthTop","false","false","false","false","false","int","","","","\android\widget\TextView.java"
"android.widget.InputMethodState.mCursorChanged","false","false","false","false","false","boolean","","","","\android\widget\TextView.java"
"android.widget.InputMethodState.mTmpOffset","false","false","false","false","false","float","new float[2]","","","\android\widget\TextView.java"
"android.widget.Drawables.mCompoundRect","false","false","false","false","true","Rect","new Rect()","","","\android\widget\TextView.java"
"android.widget.Marquee.mRepeatLimit","false","false","true","false","false","int","","","","\android\widget\TextView.java"
"android.widget.TextView.mDesiredHeightAtMeasure","false","false","true","false","false","int","-1","","","\android\widget\TextView.java"
"android.widget.Marquee.MARQUEE_DELAY","false","false","true","true","true","int","1200","","","\android\widget\TextView.java"
"android.widget.TextView.PREDRAW_DONE","false","false","true","true","true","int","2","","","\android\widget\TextView.java"
